"Стаття","Назва","Спеціальності","Джерело","Лікар: статус","Лікар: ПІБ і дата","Юрист: статус","Юрист: ПІБ і дата","Зауваження"
"78","Травми кінцівок, ребер і таза","Хірург","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n7183:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2078","Очікує","","Очікує","",""
"79","Опіки, відмороження та дія зовнішніх чинників","Хірург; Терапевт; Отоларинголог; Дерматовенеролог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n7203:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2079","Очікує","","Очікує","",""
"80","Отруєння і токсична дія речовин","Терапевт; Хірург; Психіатр; Дерматовенеролог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n7242:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2080","Очікує","","Очікує","",""
"81","Стани після травм та отруєнь","Терапевт; Хірург; Невролог; Психіатр; Офтальмолог; Отоларинголог; Стоматолог; Дерматовенеролог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n7252:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2081","Очікує","","Очікує","",""
"82","Недостатній фізичний розвиток","Терапевт","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n7261:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2082","Очікує","","Очікує","",""
"83","Розлади вегетативної нервової системи","Невролог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n7264:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2083","Очікує","","Очікує","",""
"84","Ангіотрофоневроз кінцівок","Невролог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n7271:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2084","Очікує","","Очікує","",""
"85","Заїкання із захлинанням","Психіатр; Отоларинголог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n7274:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2085","Очікує","","Очікує","",""
"86","Неорганічний енурез","Психіатр","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n7282:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2086","Очікує","","Очікує","",""
"87","Стани після трансплантації органу","Терапевт; Хірург; Невролог","https://zakon.rada.gov.ua/laws/show/z1109-08/ed20250822#n1523:~:text=%D0%A1%D1%82%D0%B0%D1%82%D1%82%D1%8F%2087","Очікує","","Очікує","",""
